date,number 1,number 2,number 3,number 4,number 5,number 6,number 7
5/2/2022,15,18,21,25,39,43,33
27/1/2022,10,18,20,29,32,33,2
20/1/2022,1,3,10,11,30,42,39
4/1/2022,2,8,12,14,20,47,36
30/12/2021,20,21,22,29,34,35,7
28/12/2021,21,25,30,33,36,49,3
25/12/2021,8,11,20,30,35,40,27
23/12/2021,3,9,11,17,22,44,23
21/12/2021,11,12,16,32,43,44,41
19/12/2021,12,20,21,26,33,42,9
16/12/2021,5,6,19,43,47,49,39
14/12/2021,7,24,29,36,41,43,35
11/12/2021,7,21,34,35,42,48,41
9/12/2021,4,7,9,13,15,43,1
7/12/2021,4,13,19,21,35,43,27
4/12/2021,1,21,24,29,44,46,19
2/12/2021,3,21,26,36,38,49,9
30/11/2021,1,17,22,26,38,44,8
27/11/2021,2,14,30,41,42,44,22
25/11/2021,10,28,36,39,47,48,44
23/11/2021,2,6,11,22,34,38,7
20/11/2021,18,19,24,38,39,42,41
18/11/2021,2,16,23,25,29,38,18
16/11/2021,9,13,25,27,33,36,35
14/11/2021,1,11,15,21,24,28,8
11/11/2021,10,13,31,37,40,46,15
9/11/2021,3,11,15,25,30,45,33
6/11/2021,13,15,40,41,42,49,21
4/11/2021,3,22,30,32,40,43,5
2/11/2021,4,5,24,33,44,49,41
30/10/2021,3,14,37,41,42,45,4
28/10/2021,1,5,17,26,34,48,42
26/10/2021,9,14,23,28,34,48,36
21/10/2021,6,9,11,13,15,47,38
19/10/2021,7,13,15,19,24,37,2
16/10/2021,3,14,16,23,38,46,2
14/10/2021,2,6,9,27,43,45,35
7/10/2021,8,11,19,21,24,47,23
5/10/2021,19,20,26,29,32,48,38
2/10/2021,6,12,19,31,47,48,41
30/9/2021,2,3,11,20,24,47,48
28/9/2021,2,23,31,38,43,45,40
25/9/2021,15,18,32,43,45,47,12
23/9/2021,2,4,10,17,38,41,47
21/9/2021,14,15,25,26,32,45,2
16/9/2021,1,6,11,20,32,35,22
14/9/2021,7,8,32,33,39,49,23
11/9/2021,12,26,31,37,38,44,16
9/9/2021,7,22,24,31,33,37,39
7/9/2021,2,7,21,23,27,36,40
4/9/2021,5,8,29,31,32,36,12
2/9/2021,10,28,39,45,48,49,15
31/8/2021,1,12,23,29,45,46,48
28/8/2021,2,14,15,16,33,45,19
26/8/2021,5,10,17,30,43,44,40
21/8/2021,2,5,18,21,42,48,46
19/8/2021,4,26,28,31,32,33,8
14/8/2021,11,12,19,38,39,41,6
12/8/2021,20,21,30,34,36,37,29
10/8/2021,4,12,14,17,22,32,41
7/8/2021,13,14,26,34,35,44,12
5/8/2021,10,17,19,25,36,39,31
3/8/2021,10,13,15,29,31,39,47
1/8/2021,1,4,9,21,36,42,3
27/7/2021,8,11,19,22,29,44,14
24/7/2021,11,12,25,27,28,34,46
22/7/2021,2,3,4,5,8,23,27
20/7/2021,2,7,15,19,31,49,46
17/7/2021,1,6,16,30,32,47,12
15/7/2021,6,19,22,23,28,49,20
13/7/2021,9,13,21,35,38,48,20
10/7/2021,25,28,34,37,40,49,33
8/7/2021,7,9,13,27,39,43,42
6/7/2021,2,6,15,16,26,34,14
3/7/2021,7,9,24,29,37,48,17
29/6/2021,10,16,24,39,44,47,28
27/6/2021,2,7,11,27,37,42,28
24/6/2021,4,11,14,21,38,48,31
22/6/2021,1,5,7,24,26,30,8
19/6/2021,4,15,17,32,38,43,30
17/6/2021,1,25,31,34,42,48,20
15/6/2021,3,11,13,22,44,45,4
11/6/2021,2,3,15,29,41,43,7
8/6/2021,7,13,21,24,28,30,10
4/6/2021,2,6,16,22,34,49,45
1/6/2021,1,6,16,28,33,36,8
28/5/2021,5,12,30,43,44,45,21
25/5/2021,1,7,19,22,27,49,20
21/5/2021,8,14,31,37,44,47,38
18/5/2021,2,9,26,34,35,36,4
14/5/2021,5,14,28,29,31,37,11
11/5/2021,15,22,30,31,35,45,6
7/5/2021,5,8,22,26,40,41,46
4/5/2021,8,9,10,19,38,45,6
30/4/2021,7,9,29,33,36,49,41
27/4/2021,2,13,15,19,38,41,30
23/4/2021,15,18,20,23,31,47,12
20/4/2021,12,32,40,42,48,49,27
16/4/2021,5,6,17,23,29,38,24
13/4/2021,7,10,13,14,20,35,49
9/4/2021,7,9,12,13,14,16,23
6/4/2021,4,7,8,20,22,41,21
2/4/2021,1,2,33,34,42,49,39
30/3/2021,24,26,36,37,41,43,31
26/3/2021,6,12,24,26,30,43,20
23/3/2021,11,14,16,19,38,41,6
19/3/2021,3,8,9,14,23,25,35
12/3/2021,16,17,21,24,43,47,30
5/3/2021,1,23,32,38,43,46,5
2/3/2021,6,15,16,21,27,28,43
26/2/2021,14,17,35,37,39,46,2
23/2/2021,2,14,18,28,34,44,21
19/2/2021,4,5,13,14,25,44,16
16/2/2021,3,13,28,30,31,45,22
12/2/2021,6,25,31,36,41,47,10
9/2/2021,1,2,16,20,31,38,7
5/2/2021,10,16,22,40,44,45,49
2/2/2021,18,21,24,26,30,35,48
29/1/2021,2,10,30,31,35,46,3
26/1/2021,5,9,16,21,44,49,15
22/1/2021,15,16,18,21,24,31,22
19/1/2021,14,21,22,38,40,45,17
15/1/2021,4,24,39,41,42,45,6
12/1/2021,5,19,22,26,35,40,2
8/1/2021,5,19,29,32,33,34,43
5/1/2021,22,24,30,36,38,46,33
2/1/2021,3,9,14,21,45,46,34
